model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",1,0.8038516405135521,0.6666666666666666,0.521505376344086,0.5852187028657617,0.7136653095312663,0.4592733464044588,0.7927960057061341,0.6478102189781022,0.477792732166891,0.5499612703330752,0.6920744349820385,0.4193387880680174
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.796718972895863,0.6851063829787234,0.4327956989247312,0.5304777594728171,0.6804755193652782,0.4090722210555271,0.7927960057061341,0.6859122401847575,0.4002695417789757,0.505531914893617,0.6671570793278971,0.3857294972188371
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.7503566333808844,0.5254629629629629,0.6102150537634409,0.5646766169154229,0.7055929637749243,0.39103996028791266,0.7614122681883024,0.5460199004975125,0.5908479138627187,0.5675500969618616,0.7068747089934652,0.40316584813957423
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.7796005706134094,0.7032258064516129,0.29301075268817206,0.4136622390891841,0.6241752792567073,0.3052215276151742,0.7717546362339515,0.6847826086956522,0.25471698113207547,0.3713163064833006,0.6062624672876672,0.2659950067242345
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",1,0.7631954350927247,0.6204819277108434,0.2768817204301075,0.3828996282527881,0.607858335943209,0.2620725079743551,0.7614122681883024,0.6360294117647058,0.23283983849259757,0.34088669950738915,0.5924024519973905,0.23178648477313257
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.7788873038516405,0.623015873015873,0.4220430107526882,0.5032051282051282,0.6649050005219752,0.3676966945996276,0.7721112696148359,0.6136865342163356,0.3746630727762803,0.46527196652719666,0.6448970068052109,0.331066914364905
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.7860199714693296,0.6428571428571429,0.43548387096774194,0.5192307692307693,0.6740526150955215,0.38809357541899436,0.7803138373751783,0.6277665995975855,0.4199192462987887,0.5032258064516129,0.6650784974822425,0.36924749983384564
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.7902995720399429,0.6083333333333333,0.5887096774193549,0.5983606557377049,0.7259082367679299,0.45652036327964307,0.7899429386590585,0.6160849772382397,0.5471698113207547,0.5795860099928622,0.7122367000347711,0.44023551677575745
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",1,0.7667617689015692,0.574750830564784,0.4650537634408602,0.5141158989598811,0.6703909593903331,0.3629061620173373,0.7767475035663338,0.5970149253731343,0.4845222072678331,0.5349182763744428,0.6833091385684146,0.3901226006088684
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.7617689015691869,0.5959595959595959,0.3172043010752688,0.4140350877192982,0.6197671990813237,0.28160803156660963,0.7574893009985735,0.6091549295774648,0.23315363881401618,0.33723196881091616,0.5896612035001215,0.22347367975212673
