model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7788873038516405,0.5885714285714285,0.553763440860215,0.5706371191135733,0.7069788078087482,0.421927953139215,0.7635520684736091,0.556497175141243,0.5302826379542396,0.5430737422467264,0.6889647056826026,0.38370888800192
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.7838801711840229,0.6081504702194357,0.521505376344086,0.5615050651230101,0.7000730765215576,0.4192243856689353,0.7817403708987162,0.6079734219269103,0.4932614555256064,0.5446428571428572,0.6894047335823958,0.4031569194298291
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6697574893009985,0.4329896907216495,0.7903225806451613,0.5594671741198859,0.7082680864390855,0.3296410506379049,0.6861626248216833,0.4483018867924528,0.7994616419919246,0.5744680851063829,0.7223897244408919,0.3556921364005011
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6761768901569187,0.4386227544910179,0.7876344086021505,0.5634615384615385,0.7117783693496188,0.3377214157288406,0.7050641940085592,0.4664561957379637,0.7964959568733153,0.5883524141363863,0.734329452733457,0.3821201553527197
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8074179743223966,0.6574074074074074,0.5725806451612904,0.6120689655172413,0.7324068274350142,0.4847945384464625,0.7992154065620543,0.6415094339622641,0.5491251682368775,0.5917331399564901,0.7192496292421651,0.4596655280289702
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8024251069900142,0.6537216828478964,0.543010752688172,0.593245227606461,0.7195636287712704,0.4642402871703183,0.8031383737517832,0.6672535211267606,0.5107816711590296,0.5786259541984732,0.7095615436299513,0.4531347603528637
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7289586305278174,0.4934210526315789,0.8064516129032258,0.6122448979591836,0.7537112433448168,0.4219234208036388,0.735734664764622,0.5008389261744967,0.8034993270524899,0.6170542635658915,0.7574022593535132,0.4314393387966598
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7253922967189729,0.4891485809682804,0.7876344086021505,0.6035015447991761,0.7452735149806868,0.4105293736062362,0.753922967189729,0.5229276895943563,0.7991913746630728,0.6321961620469083,0.7684123701637381,0.459178721815104
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8081312410841655,0.6594427244582043,0.5725806451612904,0.6129496402877698,0.7328922643282181,0.48624260637153,0.7995720399429387,0.6420722135007849,0.550471063257066,0.5927536231884057,0.7199225767522593,0.4608684823283969
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8024251069900142,0.6537216828478964,0.543010752688172,0.593245227606461,0.7195636287712704,0.4642402871703183,0.8031383737517832,0.6672535211267606,0.5107816711590296,0.5786259541984732,0.7095615436299513,0.4531347603528637
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7289586305278174,0.4934210526315789,0.8064516129032258,0.6122448979591836,0.7537112433448168,0.4219234208036388,0.735734664764622,0.5008389261744967,0.8034993270524899,0.6170542635658915,0.7574022593535132,0.4314393387966598
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.724679029957204,0.4882943143812709,0.7849462365591398,0.6020618556701032,0.7439294289591816,0.408573289560538,0.7535663338088445,0.5224669603524229,0.7991913746630728,0.6318593500266383,0.76816988713755,0.4585946895691477
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7660485021398002,0.5670731707317073,0.5,0.5314285714285715,0.6810679611650485,0.3763548187607816,0.7617689015691869,0.5614617940199336,0.4555256064690027,0.5029761904761905,0.6637472843208253,0.3485438270900749
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.6241084165477889,0.397078353253652,0.803763440860215,0.5315555555555554,0.6814933709155444,0.2735094167458196,0.6380171184022825,0.408355795148248,0.8156123822341858,0.5442299057027391,0.694802794707583,0.2954048291726949
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7831669044222539,0.5994152046783626,0.5510752688172043,0.5742296918767508,0.7090327800396701,0.4291194513648906,0.7706847360912982,0.572463768115942,0.531628532974428,0.5512909979064899,0.6942470660990528,0.3975618753324654
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.782453637660485,0.6043613707165109,0.521505376344086,0.5598845598845599,0.6991022027351498,0.4164408088847402,0.7817403708987162,0.6072607260726073,0.4959568733153638,0.5459940652818991,0.6902674764248982,0.4042509463674211
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6726105563480742,0.4359351988217967,0.7956989247311828,0.5632730732635585,0.711927132268504,0.3354324886453529,0.6868758915834522,0.4488248673237301,0.7967698519515478,0.5741998060135791,0.7220142321378311,0.3558263170316503
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4412650602409638,0.7876344086021505,0.5656370656370656,0.7137201169224345,0.341753820728338,0.7068473609129815,0.4683042789223455,0.7964959568733153,0.5898203592814371,0.7355418678643977,0.3847738954219615
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8102710413694721,0.6596385542168675,0.5887096774193549,0.6221590909090909,0.7395004697776387,0.4960378378378378,0.7988587731811697,0.637904468412943,0.5572005383580081,0.5948275862068966,0.7215891095477571,0.4618617277934799
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8009985734664765,0.6495176848874598,0.543010752688172,0.5915080527086383,0.7185927549848627,0.4613499095268129,0.8031383737517832,0.6621160409556314,0.522911051212938,0.5843373493975903,0.7134438864212119,0.4576873593245899
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7275320970042796,0.4917491749174917,0.8010752688172043,0.6094069529652352,0.751023071301806,0.4180499232852182,0.7343081312410842,0.4991554054054054,0.7954239569313594,0.6133886870783603,0.7538497756515119,0.4267161084161845
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.724679029957204,0.4882943143812709,0.7849462365591398,0.6020618556701032,0.7439294289591816,0.408573289560538,0.7589158345221113,0.5290492957746479,0.8099730458221024,0.6400425985090521,0.775258103900382,0.4705426235332762
