model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8045649072753209,0.6856060606060606,0.4865591397849462,0.5691823899371069,0.7029883077565509,0.4474725856375205
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8052781740370899,0.6926070038910506,0.478494623655914,0.5659777424483307,0.7008977972648501,0.445817707956273
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8052781740370899,0.6787003610108303,0.5053763440860215,0.5793528505392913,0.709484288547865,0.4561799349256191
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.8081312410841655,0.6845878136200717,0.5134408602150538,0.5867895545314901,0.7140019835055852,0.4651480728267005
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.8002853067047075,0.6811023622047244,0.4650537634408602,0.5527156549520768,0.6932064933709156,0.4299786837351671
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.8045649072753209,0.6762589928057554,0.5053763440860215,0.5784615384615385,0.7089988516546613,0.4546977293503751
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8088445078459344,0.7,0.489247311827957,0.5759493670886076,0.7067595782440755,0.4575180761856361
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8074179743223966,0.6847826086956522,0.5080645161290323,0.5833333333333335,0.7117992483557782,0.4616526725373745
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.7995720399429387,0.6857142857142857,0.4516129032258064,0.5445705024311183,0.6884278108362041,0.4229810444171693
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.7981455064194009,0.6394984326018809,0.5483870967741935,0.5904486251808972,0.7183683056686502,0.4575594097171903
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.8017118402282454,0.6516129032258065,0.543010752688172,0.5923753665689149,0.7190781918780665,0.4627937876624343
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.8017118402282454,0.6441717791411042,0.5645161290322581,0.6017191977077364,0.7259473849044785,0.47047762929793
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8031383737517832,0.65,0.5591397849462365,0.6011560693641619,0.7252009604342833,0.4714521434113187
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8124108416547788,0.6676923076923077,0.5833333333333334,0.6226685796269728,0.7392394822006474,0.49860075007411
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8067047075606276,0.662379421221865,0.553763440860215,0.6032210834553441,0.7259108466436998,0.4767950734113486
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.7988587731811697,0.6388888888888888,0.5564516129032258,0.5948275862068966,0.7214296899467585,0.4618965179329718
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.7995720399429387,0.6463022508038585,0.5403225806451613,0.5885797950219619,0.7167632320701535,0.4574886185556789
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.8017118402282454,0.6432926829268293,0.5672043010752689,0.602857142857143,0.7268060340327801,0.4714226817545649
